Order,Speaker,Time,Text,Has Arguments,All Arguments Summarized,FOR: limitCampaignContributions,AGAINST: limitCampaignContributions,FOR: closeForeignLoopholes,AGAINST: closeForeignLoopholes,FOR: establishRedistrictingCommissions,AGAINST: establishRedistrictingCommissions,FOR: implementProportionalRepresentation,AGAINST: implementProportionalRepresentation,FOR: encourageTransparency,AGAINST: encourageTransparency,FOR: promoteCivicEducation,AGAINST: promoteCivicEducation,FOR: explorePublicFunding,AGAINST: explorePublicFunding,other,notRelevant,FOR: limitCampaignContributions (bool),AGAINST: limitCampaignContributions (bool),FOR: closeForeignLoopholes (bool),AGAINST: closeForeignLoopholes (bool),FOR: establishRedistrictingCommissions (bool),AGAINST: establishRedistrictingCommissions (bool),FOR: implementProportionalRepresentation (bool),AGAINST: implementProportionalRepresentation (bool),FOR: encourageTransparency (bool),AGAINST: encourageTransparency (bool),FOR: promoteCivicEducation (bool),AGAINST: promoteCivicEducation (bool),FOR: explorePublicFunding (bool),AGAINST: explorePublicFunding (bool),other (bool),notRelevant (bool)
1,48275,"""10:04""","Well I guess I'll start with just simply saying, I don't think it should be that they should allow any more than what it is now and that's pretty much all I have to say about that.",yes," 1. The speaker does not think there should be an increase in the current limit.
2. They do not have any other points to add to the discussion.",, The speaker does not think there should be an increase in the current limit,,,,,,,,,,,,,, They do not have any other points to add to the discussion,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2,48304,"""10:25""","Well, the last item closing the loopholes to prevent foreign interference seems like a no-brainer to me. I'm not sure why, there would be loopholes anyway to begin with.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,10490,"""10:41""","It'd be great to close the loopholes, at the very least, not sure about some of these other ones. Raising the limit doesn't seem very Savory to me, but yeah, at least close the loopholes,",yes," 1. The speaker thinks it would be beneficial to close loopholes.
2. The speaker is unsure about other changes.
3. The speaker does not think increasing the limit is a good idea.
4. The speaker emphasizes the importance of closing the loopholes.",, The speaker does not think increasing the limit is a good idea, The speaker thinks it would be beneficial to close loopholes  The speaker emphasizes the importance of closing the loopholes,,,,,,,,,,,,, The speaker is unsure about other changes,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True
4,48424,"""10:55""","Yeah, I would agree and loopholes in there. So many different ways in which campaign Finance can be affected with loopholes and one of the ways that we're seeing now come out is just that people who will donate to like a charity organization that makes donations to candidates that their, their names are being used for thousands of contributions that they may not have you.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,48424,"""10:55""", Like done or authorized so just it just gives light to there's so much that the general public does not know what goes on in campaign financing that I think should be brought to light. It should be transparent.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,10384,"""11:40""","I was actually going to bring that up because some of you might have seen But project, Veritas recently did a report where they had discovered stuff like that where you can go on through the I think it was the Federal elections commissions and it's shows on their donations that people have made. And there was all kinds of ones where these people said, they made a whole bunch of donations totaling, hundreds of thousands of dollars. And he went to these people all across the country.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,10384,"""11:40""", I was asking him was this you and it wasn't there saying no I may be donated like ten dollars every now and then but some entities were using these peoples names and stuff to put in fake money to people's campaigns.,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,48360,"""12:31""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,48360,"""12:31""","Well, I think to the foreign influence but it's really hard to monitor that when they're using social media and so forth to influence our elections and campaign financing is always been slippery. Slope raised we go down. We go up, we go down.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10,48360,"""12:31"""," And I don't know if you set a limit now, that's a standard and then the next time you come around it, so we'll set the limit little higher for higher standard and make it more equal. So on that issue, stay with that.",yes," 1. The speaker is unsure if a limit has been set.
2. The speaker suggests setting a higher limit, which they refer to as a ""higher standard.""
3. They propose making the limit more equal.
4. The speaker encourages staying with this higher limit.",""" They propose making the limit more equal  The speaker encourages staying with this higher limit",,,,,,,,,,,,,,," The speaker is unsure if a limit has been set  The speaker suggests setting a higher limit, which they refer to as a ""higher standard",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
11,48483,"""13:10""","I'm one of the general public that really doesn't understand campaign financing. I wish there was a way that they all got the same pot of money to start with, and just had to figure out how to spend it wisely, would people campaign into a fund that got split between the candidates, I don't know, I it's pretty far-fetched but I hate how it works. Now, only the rich people can do anything.",yes," 1. The author is part of the general public who does not understand campaign financing.
2. The author wishes there was a way that all candidates received the same amount of money to start with.
3. The author suggests a hypothetical scenario where people campaign into a fund that gets split between the candidates.
4. The author admits this idea may be far-fetched.
5. The author dislikes the current system, which they believe only allows rich people to make a difference in campaigns.",,,,,,,,,,,,, The author suggests a hypothetical scenario where people campaign into a fund that gets split between the candidates,,," The author is part of the general public who does not understand campaign financing  The author wishes there was a way that all candidates received the same amount of money to start with  The author admits this idea may be far-fetched  The author dislikes the current system, which they believe only allows rich people to make a difference in campaigns",False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
12,48432,"""13:33""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,48432,"""13:33""","I am also in favor of getting rid of loopholes. Also, the thing about, raising the level of the limit on contributions,",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,48432,"""13:33"""," I don't like hearing that or seeing that come up. However, I got to be real. That you know, the value of the dollar is less than it was in the past. It will probably continue to be so with inflation and everything and the price of everything going up, suppose that's going to have to rise to.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,48304,"""16:05""","I'm sort of echoing what Lynn said on the last. The last topic that this stuff is, mind-blowing lie, complex, and I just can't wrap my head around much of the proposals, here of the consequences, either, good or bad. That's just, it's so complex. And so many loopholes and ways that it could be taken advantage of. So,",yes," 1. The last topic discussed was described as mind-blowing, complex, and difficult to understand.
2. The consequences of the proposals under this topic are also seen as challenging to comprehend.
3. There are concerns about many loopholes and ways that the proposals could be exploited.",,,,,,,,,,,,,,, There are concerns about many loopholes and ways that the proposals could be exploited," The last topic discussed was described as mind-blowing, complex, and difficult to understand  The consequences of the proposals under this topic are also seen as challenging to comprehend",False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
16,48363,"""16:35""","I'm not a fan of using public money to give to politicians to buy ads with and I I'm all for disclosing who your donors are no matter what amount of money that would be whether it be, you know, 20 bucks or to be two thousand dollars.",yes," 1. Opposed to using public money for politicians' ads.
2. In favor of disclosing the identity of donors.
3. Disclosure applies to all donation amounts, whether $20 or $2000.",,,,,,,,," In favor of disclosing the identity of donors  Disclosure applies to all donation amounts, whether $20 or $2000",,,,, Opposed to using public money for politicians' ads,,,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
17,48275,"""16:54""","I wouldn't mind if the government would fund the campaigns, but that would be the only funds that they would be able to get to use instead of any money from any of these big packs. So, it's whatever the government give to both campaigns, that's just it.",yes," 1. The government should fund campaign funds.
2. The only funds that campaigns would be able to use are the ones from the government.
3. No money from ""big packs"" or other sources would be allowed.
4. The amount of funds given by the government to both campaigns would be equal.",,,,,,,,,,,,, The government should fund campaign funds  The only funds that campaigns would be able to use are the ones from the government  The amount of funds given by the government to both campaigns would be equal,,," No money from ""big packs"" or other sources would be allowed",False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
18,10455,"""17:18""","I've been wondering for a long time, what happens on the income tax forms for it, says check to put a dollar, two dollars or whatever into to voting stuff, whatever happens to that and I really don't know.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,48424,"""17:47""","Me personally, I like I said, leaning, conservative it did sounds like a pretty massive waste of money and just potential for just another Avenue for like public money and public funds to just get dumped into. I don't know not working systems or it may be a system that's not fully fleshed-out. It just it seems kind of wasteful in my opinion.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20,10490,"""18:14""",,no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21,10490,"""18:14""","Yeah, I think that maybe the concern, or the reason for some of these proposals is just try to level the playing field. So you can't have one person who has a bunch of billionaires, you know, finding them having an unfair Advantage, but I do think one General comment about all of this is, I think that money isn't everything in the campaign and, you know, recently there have been some graphic examples of people very well funded completely failing. Like Bloomberg spent a good jillion dollars and got like 1% in the Democratic.",yes," 1. The concern or reason for some proposals is to level the playing field in campaigns.
2. The proposals aim to prevent individuals with billionaire backers from having an unfair advantage.
3. The speaker believes that money is not everything in a campaign.
4. There are recent examples of well-funded campaigns failing, such as Bloomberg's 2020 Democratic presidential campaign, which spent a large amount of money but only received 1% of the votes.", The proposals aim to prevent individuals with billionaire backers from having an unfair advantage," There are recent examples of well-funded campaigns failing, such as Bloomberg's 2020 Democratic presidential campaign, which spent a large amount of money but only received 1% of the votes",,,,,,,,,,,,, The concern or reason for some proposals is to level the playing field in campaigns  The speaker believes that money is not everything in a campaign,,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
22,10490,"""18:14"""," Brick primary South Carolina in a Democrat Senator spent or running for Senate, spent a ton of money lost. So money isn't everything? You know, you can spend a lot of money and it doesn't necessarily get you across the line there. Other factors important as",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23,48304,"""19:45""","I think I talked about something similar to this in the morning session. So so what nonpartisan group is going to create this independent readers, redistricting commission, that we would all have faith in that is not partisan.",yes," 1. A nonpartisan group is going to create an independent readers, redistricting commission.
2. The purpose of this commission is to not be partisan.
3. The goal is to have all people have faith in this commission.
4. This topic may have been discussed in the morning session.",,,,," A nonpartisan group is going to create an independent readers, redistricting commission  The purpose of this commission is to not be partisan",,,,,, The goal is to have all people have faith in this commission,,,,, This topic may have been discussed in the morning session,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
24,48275,"""20:05""","Yeah, that's what I'm thinking, also, but my theory is, if maybe they had a software created, where first of all, they are going to enter certain information. In it were",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25,48275,"""20:05"""," That requirements for that system to decide where that, you know, where those lines are drawn. Rather than a man looking at a decided that's just just don't trust them. So,",yes," 1. The system requires rules to determine where to draw lines.
2. A human deciding where to draw the lines is not trusted.
3. The system should not rely on human judgment for determining such rules.",,,,,, A human deciding where to draw the lines is not trusted,,,,,,,, The system should not rely on human judgment for determining such rules, The system requires rules to determine where to draw lines,,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False
26,48483,"""20:33""","Sandra, I think that's a really good idea. I'm sure there's software. That's available that can make that happen. I originally click my button to say, exactly what Rick said, where are we going to find any kind of a nonpartisan group that can do anything?",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27,48424,"""20:48""","So my my thought is with the districting and I made for my question based on this. But to is there a way or would there be a way for whether it's through, these measures are whatever to have political districting match, like boundaries that are already set in place like City to City, boundaries, and County, boundaries and things like that might more accurately.",yes," 1. The thought is about political districting.
2. The question is based on this thought.
3. The goal is to have political districting match existing boundaries, such as:
	* City-to-city boundaries
	* County boundaries
4. This may result in more accurate representation.",,,,," The thought is about political districting  The goal is to have political districting match existing boundaries, such as: City-to-city boundaries County boundaries This may result in more accurate representation",,,,,,,,,,, The question is based on this thought,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
28,48424,"""20:48"""," Ali, go along those lines that I think are already a little more fair rather than having to bring in these other third party or independent.",no,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
